,title,location,price(L),rate_persqft,area_insqft,building_status,agent_rating
0,Residential Plot,Maheshwaram,45.0,1111,4050,New,4.6
1,Residential Plot,Kondakal,34.0,2361,1440,New,3.7
2,Residential Plot,Bibinagar,14.19,944,1503,New,4.9
3,Residential Plot,Gachibowli,330.0,3333,9900,New,0.0
4,Residential Plot,Shadnagar,6.72,466,1440,New,4.7
5,3 BHK Apartment,Kondapur,123.0,5999,2060,Under Construction,4.7
6,3 BHK Apartment,Shaikpet,122.0,6541,1865,Under Construction,4.5
7,3 BHK Apartment,Sanath Nagar,82.22,5500,1495,Under Construction,3.9
8,3 BHK Apartment,Hitech City,145.0,7754,1870,Under Construction,4.3
9,5 BHK Villa,Narsingi,741.0,9300,7970,Under Construction,4.3
10,3 BHK Apartment,Shaikpet,155.0,6400,2435,Under Construction,0.0
11,3 BHK Apartment,Manikonda,85.74,4650,1844,Under Construction,4.2
12,Residential Plot,Shadnagar,29.38,611,4810,New,0.0
13,Residential Plot,Bhuvanagiri,140.0,1333,10530,New,4.4
14,3 BHK Apartment,LB Nagar,58.93,4700,1254,Under Construction,4.1
15,Residential Plot,Shankarpalli,109.0,3222,3384,New,0.0
16,4 BHK Apartment,Nanakramguda,253.0,6200,4085,Ready to move,0.0
17,Residential Plot,Kadthal,36.0,500,7200,New,4.2
18,3 BHK Apartment,Tellapur,99.96,4799,2083,Under Construction,4.7
19,3 BHK Apartment,Narsingi,125.0,6067,2060,Ready to move,3.8
20,Residential Plot,Maheshwaram,23.97,888,2700,New,3.9
21,Residential Plot,Shadnagar,34.99,1111,3150,New,0.0
22,4 BHK Villa,Manikonda,662.0,12500,5300,Under Construction,0.0
23,Residential Plot,Shadnagar,21.46,477,4500,New,0.0
24,Residential Plot,Mansanpally,64.98,1444,4500,New,0.0
25,3 BHK Apartment,Uppal Kalan,66.4,4000,1660,Under Construction,0.0
26,3 BHK Apartment,Auto Nagar,108.0,5301,2042,Under Construction,3.9
27,4 BHK Apartment,Yapral,172.0,4500,3835,Under Construction,0.0
28,Residential Plot,Kadthal,45.0,500,9000,New,0.0
29,3 BHK Apartment,Gandipet,95.25,5000,1905,Under Construction,3.8
30,3 BHK Apartment,Tellapur,102.0,4899,2083,Under Construction,0.0
31,3 BHK Villa,Maheshwaram,140.0,6379,2209,Under Construction,4.9
32,Residential Plot,Mangalpally,31.15,1944,1602,New,4.3
33,2 BHK Apartment,Manikonda,61.04,4750,1285,Under Construction,3.7
34,2 BHK Apartment,Tellapur,29.0,2412,1202,Under Construction,0.0
35,2 BHK Apartment,Sanath Nagar,93.0,7351,1265,Under Construction,5.0
36,Residential Plot,Patancheru Shankarpalli Road,33.0,2444,1350,New,4.9
37,3 BHK Villa,Bachupally,125.0,5980,2090,Under Construction,0.0
38,Residential Plot,Kollur,37.6,1777,2115,New,3.1
39,Residential Plot,Kothur,13.75,1222,1125,New,4.3
40,Residential Plot,Maheshwaram,22.5,1111,2025,New,4.7
41,Residential Plot,Ghanpur,40.0,2222,1800,New,3.6
42,Residential Plot,Lemoor,24.0,1212,1980,New,0.0
43,Residential Plot,Adibatla,19.95,1666,1197,New,4.8
44,2 BHK Apartment,Gandipet,72.54,5200,1395,Under Construction,0.0
45,Residential Plot,Nandigama,25.6,1777,1440,New,4.2
46,3 BHK Apartment,Gachibowli,180.0,6141,2931,Under Construction,0.0
47,Residential Plot,Shadnagar,12.76,644,1980,New,3.5
48,Residential Plot,Yadagirigutta,9.07,611,1485,New,4.1
49,Residential Plot,Yadagirigutta,15.0,833,1800,New,3.6
50,Residential Plot,Maheshwaram,56.0,1777,3150,New,5.0
51,Residential Plot,Patancheru,9.15,4316,212,New,3.7
52,Residential Plot,Shamshabad,20.0,1111,1800,New,4.5
53,Residential Plot,Mansanpally,132.0,1666,7920,New,4.4
54,Residential Plot,Adibatla,15.0,1111,1350,New,3.4
55,Residential Plot,Adibatla,48.0,2666,1800,New,0.0
56,Residential Plot,Maheshwaram,72.8,1444,5040,New,0.0
57,Residential Plot,Maheshwaram,46.05,1666,2763,New,0.0
58,Residential Plot,Maheshwaram,54.6,1444,3780,New,0.0
59,Residential Plot,Shamshabad,26.0,1444,1800,New,0.0
60,3 BHK Apartment,Gachibowli,115.0,5400,2132,Under Construction,5.0
61,3 BHK Apartment,Gachibowli,101.0,5400,1874,Under Construction,5.0
62,3 BHK Apartment,Gachibowli,96.76,5399,1792,Under Construction,5.0
63,3 BHK Apartment,Gachibowli,118.0,5400,2191,Under Construction,5.0
64,3 BHK Apartment,Gachibowli,87.83,5500,1597,Under Construction,5.0
65,3 BHK Apartment,Gachibowli,86.23,5400,1597,Under Construction,5.0
66,3 BHK Apartment,Gachibowli,92.01,5500,1673,Under Construction,5.0
67,3 BHK Apartment,Gachibowli,84.59,5500,1538,Under Construction,5.0
68,3 BHK Apartment,Gachibowli,116.0,5400,2150,Under Construction,5.0
69,3 BHK Apartment,Gachibowli,88.66,5300,1673,Under Construction,5.0
70,3 BHK Apartment,Gachibowli,98.56,5500,1792,Under Construction,5.0
71,3 BHK Apartment,Gachibowli,96.76,5400,1792,Under Construction,5.0
72,3 BHK Apartment,Gachibowli,82.69,4901,1687,Under Construction,5.0
73,3 BHK Apartment,Gachibowli,89.95,4800,1874,Under Construction,5.0
74,3 BHK Apartment,Gachibowli,87.84,4902,1792,Under Construction,5.0
75,3 BHK Apartment,Gachibowli,81.95,4898,1673,Under Construction,5.0
76,3 BHK Apartment,Gachibowli,105.0,4799,2208,Under Construction,5.0
77,3 BHK Apartment,Gachibowli,108.0,4896,2208,Under Construction,5.0
78,3 BHK Apartment,Gachibowli,78.25,4900,1597,Under Construction,5.0
79,3 BHK Apartment,Gachibowli,75.69,4740,1597,Under Construction,5.0
80,3 BHK Apartment,Gachibowli,108.0,4900,2208,Under Construction,5.0
81,3 BHK Apartment,Gachibowli,107.0,4899,2191,Under Construction,5.0
82,3 BHK Apartment,Gachibowli,78.95,4943,1597,Under Construction,5.0
83,3 BHK Apartment,Gachibowli,75.65,4737,1597,Under Construction,5.0
84,3 BHK Apartment,Gachibowli,87.95,4908,1792,Under Construction,5.0
85,3 BHK Apartment,Gachibowli,81.96,4899,1673,Under Construction,5.0
86,3 BHK Apartment,Gachibowli,107.0,4900,2191,Under Construction,5.0
87,3 BHK Apartment,Gachibowli,105.0,4898,2150,Under Construction,5.0
88,3 BHK Apartment,Gachibowli,107.0,4910,2191,Under Construction,5.0
89,3 BHK Apartment,Gachibowli,86.01,4799,1792,Under Construction,5.0
90,3 BHK Apartment,Gachibowli,80.97,4799,1687,Under Construction,5.0
91,3 BHK Apartment,Gachibowli,102.0,4799,2132,Under Construction,5.0
92,3 BHK Apartment,Gachibowli,80.32,4801,1673,Under Construction,5.0
93,3 BHK Apartment,Gachibowli,75.64,4736,1597,Under Construction,5.0
94,3 BHK Apartment,Gachibowli,80.3,4800,1673,Under Construction,5.0
95,3 BHK Apartment,Gachibowli,103.0,4800,2150,Under Construction,5.0
96,3 BHK Apartment,Gachibowli,92.78,5500,1687,Under Construction,5.0
97,3 BHK Apartment,Gachibowli,105.0,4798,2191,Under Construction,5.0
98,3 BHK Apartment,Gachibowli,82.66,4900,1687,Under Construction,5.0
99,3 BHK Apartment,Nallagandla Gachibowli,117.0,5500,2132,Under Construction,5.0
100,3 BHK Apartment,Nallagandla Gachibowli,103.0,5500,1874,Under Construction,5.0
101,3 BHK Apartment,Nanakramguda,87.83,5500,1597,Under Construction,5.0
102,3 BHK Apartment,Tellapur,92.01,5500,1673,Under Construction,5.0
103,3 BHK Apartment,Tellapur,84.59,5500,1538,Under Construction,5.0
104,3 BHK Apartment,Gachibowli,105.0,4900,2150,Under Construction,5.0
105,3 BHK Apartment,Gachibowli,105.0,4800,2208,Under Construction,5.0
106,3 BHK Apartment,Nallagandla Gachibowli,98.56,5500,1792,Under Construction,5.0
107,3 BHK Apartment,Nallagandla Gachibowli,92.01,5500,1673,Under Construction,5.0
108,3 BHK Apartment,Nallagandla Gachibowli,121.0,5500,2208,Under Construction,5.0
109,3 BHK Apartment,Nallagandla Gachibowli,118.0,5500,2150,Under Construction,5.0
110,3 BHK Apartment,Nallagandla Gachibowli,92.78,5500,1687,Under Construction,5.0
111,3 BHK Apartment,Gachibowli,118.0,5500,2150,Under Construction,5.0
112,3 BHK Apartment,Gachibowli,119.0,5400,2208,Under Construction,5.0
113,3 BHK Apartment,Nallagandla Gachibowli,87.83,5500,1597,Under Construction,5.0
114,3 BHK Apartment,Gachibowli,121.0,5500,2208,Under Construction,5.0
115,1 BHK Apartment,Nizampet,19.0,2923,650,Under Construction,4.7
116,1 BHK Apartment,Hitech City,19.0,2923,650,Under Construction,4.7
117,1 BHK Apartment,Beeramguda,18.95,2915,650,Under Construction,4.7
118,1 BHK Apartment,Madhapur,19.0,2923,650,Under Construction,4.7
119,1 BHK Apartment,BHEL,19.0,2923,650,Under Construction,4.7
120,3 BHK Apartment,Gachibowli,91.85,4901,1874,Under Construction,5.0
121,3 BHK Apartment,Gachibowli,117.0,5500,2132,Under Construction,5.0
122,3 BHK Apartment,Gachibowli,80.32,4800,1673,Under Construction,5.0
123,3 BHK Apartment,Nallagandla Gachibowli,120.0,5500,2191,Under Construction,5.0
124,1 BHK Apartment,Bachupally Road,19.0,2923,650,Under Construction,4.7
125,3 BHK Apartment,Tellapur,87.83,5500,1597,Under Construction,5.0
126,1 BHK Apartment,Gachibowli,19.0,2923,650,Under Construction,4.7
127,1 BHK Apartment,Miyapur,19.0,2945,645,Under Construction,4.7
128,3 BHK Apartment,Nanakramguda,84.59,5500,1538,Under Construction,5.0
129,2 BHK Apartment,Kondapur,19.0,2923,650,Under Construction,4.7
130,2 BHK Apartment,Madhapur Road,22.0,2417,910,Under Construction,4.7
131,3 BHK Apartment,Tellapur,1030.0,55000,1874,Under Construction,5.0
132,3 BHK Apartment,Nanakramguda,118.0,5500,2150,Under Construction,5.0
133,3 BHK Apartment,Tellapur,121.0,5500,2208,Under Construction,5.0
134,3 BHK Apartment,Gachibowli,120.0,5500,2191,Under Construction,5.0
135,3 BHK Apartment,Tellapur,117.0,5500,2132,Under Construction,5.0
136,3 BHK Apartment,Nanakramguda,121.0,5500,2208,Under Construction,5.0
137,3 BHK Apartment,Gachibowli,75.45,4724,1597,Under Construction,5.0
138,3 BHK Apartment,ECIL Main Road,63.4,4000,1585,Under Construction,4.5
139,1 BHK Apartment,Beeramguda Road,19.0,2923,650,Under Construction,4.7
140,2 BHK Apartment,Patancheru Industrial Area,26.0,2600,1000,Under Construction,4.7
141,2 BHK Apartment,Linghampally,26.0,2600,1000,Under Construction,4.7
142,2 BHK Apartment,Bachupally Road,23.0,2421,950,Under Construction,4.7
143,3 BHK Apartment,Bachupally Road,23.0,2500,920,Under Construction,4.7
144,3 BHK Apartment,ECIL Main Road,57.2,4000,1430,Under Construction,4.5
145,1 BHK Apartment,Kondapur,19.0,2923,650,Under Construction,4.7
146,3 BHK Apartment,Tellapur,92.78,5500,1687,Under Construction,5.0
147,3 BHK Apartment,Gachibowli,76.54,4793,1597,Under Construction,5.0
148,3 BHK Apartment,Gachibowli,103.0,4802,2150,Under Construction,5.0
149,3 BHK Apartment,Gachibowli,86.01,4800,1792,Under Construction,5.0
150,2 BHK Apartment,Kondapur,25.0,2631,950,Under Construction,4.7
151,2 BHK Apartment,ECIL Cross Road,46.6,4000,1165,Under Construction,4.5
152,3 BHK Villa,Bachupally,107.0,4499,2397,Under Construction,4.5
153,3 BHK Villa,Bachupally,114.0,4499,2536,Under Construction,4.5
154,3 BHK Villa,Bachupally,134.0,4499,2990,Under Construction,4.5
155,3 BHK Villa,Bachupally,95.87,4499,2131,Under Construction,4.5
156,3 BHK Villa,Bachupally,110.0,4497,2465,Under Construction,4.5
157,3 BHK Apartment,ECIL Cross Road,63.4,4000,1585,Under Construction,4.5
158,3 BHK Apartment,ECIL Cross Road,72.8,4000,1820,Under Construction,4.5
159,2 BHK Apartment,Patancheru,26.0,2857,910,Under Construction,4.7
160,2 BHK Apartment,ECIL Main Road,49.4,4000,1235,Under Construction,4.5
161,2 BHK Apartment,ECIL Main Road,46.4,4000,1160,Under Construction,4.5
162,3 BHK Villa,Kapra,97.44,4350,2240,Under Construction,4.5
163,3 BHK Apartment,Tellapur,103.0,5500,1874,Under Construction,5.0
164,3 BHK Apartment,Tellapur,120.0,5500,2191,Under Construction,5.0
165,3 BHK Villa,Bachupally,110.0,4499,2464,Under Construction,4.5
166,3 BHK Villa,Bachupally,103.0,4499,2305,Under Construction,4.5
167,3 BHK Apartment,ECIL Cross Road,57.2,4000,1430,Under Construction,4.5
168,3 BHK Apartment,Tellapur,118.0,5500,2150,Under Construction,5.0
169,3 BHK Apartment,Gachibowli,80.3,4760,1687,Under Construction,5.0
170,3 BHK Apartment,Gachibowli,94.97,5300,1792,Under Construction,5.0
171,Residential Plot,Warangal Highway Aler,17.21,422,4077,New,5.0
172,Residential Plot,Warangal Highway Aler,16.42,411,3996,New,5.0
173,Residential Plot,Warangal Highway Aler,14.83,411,3609,New,5.0
174,Residential Plot,Warangal Highway Aler,14.85,433,3429,New,5.0
175,Residential Plot,Warangal Highway Aler,8.24,422,1953,New,5.0
176,Residential Plot,Warangal Highway Aler,8.3,433,1917,New,5.0
177,Residential Plot,Warangal Highway Aler,10.32,411,2511,New,5.0
178,1 BHK Apartment,Ramachandra Puram,19.0,2923,650,Under Construction,4.7
179,2 BHK Apartment,Moula Ali,50.0,4310,1160,Under Construction,4.5
180,2 BHK Apartment,Suraram,37.2,3974,936,Under Construction,4.7
181,1 BHK Apartment,ECIL Cross Road,22.0,4000,550,Under Construction,4.5
182,3 BHK Apartment,Kondapur,145.0,6001,2420,Under Construction,4.7
183,3 BHK Apartment,Kondapur,143.0,5999,2390,Under Construction,4.7
184,3 BHK Apartment,Kondapur,141.0,6001,2360,Under Construction,4.7
185,3 BHK Apartment,Kondapur,116.0,6002,1940,Under Construction,4.7
186,3 BHK Apartment,Kondapur,116.0,5999,1935,Under Construction,4.7
187,3 BHK Apartment,Kondapur,103.0,6002,1720,Under Construction,4.7
188,3 BHK Apartment,Kondapur,86.08,6002,1435,Under Construction,4.7
189,2 BHK Apartment,Kondapur,80.38,5999,1340,Under Construction,4.7
190,2 BHK Apartment,Kondapur,79.48,5999,1325,Under Construction,4.7
191,2 BHK Apartment,Kondapur,78.58,6003,1310,Under Construction,4.7
192,2 BHK Apartment,Kondapur,76.48,6003,1275,Under Construction,4.7
193,2 BHK Apartment,Kondapur,74.98,5999,1250,Under Construction,4.7
194,3 BHK Apartment,Kondapur,162.0,5999,2710,Under Construction,4.7
195,3 BHK Apartment,Kondapur,149.0,6001,2485,Under Construction,4.7
196,Residential Plot,Kollur,22.4,1777,1260,New,3.1
197,Residential Plot,Kollur,40.16,1777,2259,New,3.1
198,Residential Plot,Kollur,25.6,1777,1440,New,3.1
199,Residential Plot,Kollur,28.8,1777,1620,New,3.1
200,Residential Plot,Kollur,26.88,1777,1512,New,3.1
201,3 BHK Apartment,Gachibowli,95.0,5301,1792,Under Construction,0.0
202,3 BHK Apartment,Nallagandla Gachibowli,89.41,5300,1687,Under Construction,5.0
203,3 BHK Apartment,Tellapur,86.0,5385,1597,Under Construction,0.0
204,3 BHK Apartment,Gachibowli,86.04,4801,1792,Under Construction,5.0
205,3 BHK Apartment,Gachibowli,76.65,4799,1597,Under Construction,5.0
206,3 BHK Apartment,Gachibowli,76.54,4792,1597,Under Construction,5.0
207,3 BHK Apartment,Gachibowli,87.55,4672,1874,Under Construction,5.0
208,Residential Plot,Kollur,23.04,1777,1296,New,5.0
209,3 BHK Apartment,Gachibowli,103.0,4800,2150,Under Construction,3.1
210,2 BHK Apartment,Chandanagar,26.0,2600,1000,Under Construction,5.0
211,3 BHK Apartment,Gachibowli,89.95,4800,1874,Under Construction,4.7
212,3 BHK Apartment,Tellapur,89.0,5275,1687,Under Construction,5.0
213,Residential Plot,Warangal Highway Aler,9.52,377,2520,New,0.0
214,3 BHK Apartment,Nallagandla Gachibowli,84.64,5300,1597,Under Construction,5.0
215,3 BHK Apartment,Miyapur,100.0,5200,1925,Ready to move,0.0
216,3 BHK Apartment,Miyapur,99.06,5200,1905,Ready to move,0.0
217,2 BHK Apartment,Gajularamaram,44.46,3800,1170,Ready to move,0.0
218,2 BHK Apartment,Gajularamaram,38.76,3800,1020,Ready to move,0.0
219,2 BHK Apartment,Ashok Nagar,26.0,2765,940,Ready to move,4.7
220,1 BHK Apartment,Patancheru,19.0,2923,650,Under Construction,4.7
221,3 BHK Apartment,Tellapur,114.0,5200,2208,Under Construction,5.0
222,3 BHK Apartment,Nallagandla Gachibowli,110.0,5200,2132,Under Construction,5.0
223,3 BHK Apartment,Miyapur,101.0,5200,1945,Ready to move,0.0
224,3 BHK Apartment,Miyapur,100.0,5200,1935,Ready to move,0.0
225,3 BHK Apartment,Miyapur,99.84,5200,1920,Ready to move,0.0
226,3 BHK Apartment,Gachibowli,102.0,4799,2132,Under Construction,0.0
227,3 BHK Apartment,Gachibowli,105.0,4798,2208,Under Construction,5.0
228,3 BHK Apartment,Gachibowli,105.0,4800,2191,Under Construction,5.0
229,2 BHK Apartment,Miyapur,26.0,2600,1000,Ready to move,5.0
230,Residential Plot,Warangal Highway Aler,6.76,366,1845,New,4.7
231,3 BHK Apartment,Kukatpally,79.72,5227,1525,Ready to move,5.0
232,2 BHK Apartment,Kukatpally,65.27,5306,1230,Ready to move,0.0
233,3 BHK Apartment,Kukatpally,76.5,5563,1375,Ready to move,0.0
234,3 BHK Apartment,Gachibowli,80.97,4799,1687,Under Construction,0.0
235,2 BHK Apartment,Miyapur,29.0,2504,1158,Under Construction,5.0
236,3 BHK Apartment,Miyapur,40.0,2439,1640,Under Construction,0.0
237,Residential Plot,Warangal Highway Aler,7.74,400,1935,New,5.0
238,Residential Plot,Warangal Highway Aler,7.92,400,1980,New,5.0
239,3 BHK Apartment,kukatpally housing board,70.45,5704,1235,Ready to move,0.0
240,3 BHK Apartment,Tellapur,83.04,5200,1597,Under Construction,5.0
241,3 BHK Apartment,Kompally,35.0,2671,1310,Under Construction,0.0
242,2 BHK Apartment,Ameenpur,29.0,2408,1204,Under Construction,0.0
243,3 BHK Apartment,Gachibowli,80.97,4800,1687,Under Construction,5.0
244,Residential Plot,Kollur,24.0,1777,1350,New,3.1
245,2 BHK Apartment,Kukatpally,19.0,2945,645,Ready to move,4.7
246,2 BHK Apartment,Gachibowli,24.0,2553,940,Under Construction,4.7
247,Residential Plot,Warangal Highway Aler,16.26,433,3753,New,5.0
248,3 BHK Apartment,Nallagandla Gachibowli,111.0,5200,2150,Under Construction,5.0
249,2 BHK Apartment,Ramachandra Puram,60.02,5174,1160,Under Construction,0.0
250,Residential Plot,Kundanpally,37.0,2055,1800,New,4.9
251,Residential Plot,Mumbai Highway,28.0,1555,1800,New,4.9
252,Residential Plot,Bhuvanagiri,36.0,1333,2700,New,4.9
253,Residential Plot,Patancheru,36.74,2444,1503,New,4.9
254,2 BHK Apartment,Patancheru,26.0,2857,910,Under Construction,4.9
255,3 BHK Apartment,Nallagandla Gachibowli,87.83,5500,1597,Under Construction,4.7
256,4 BHK Apartment,Kukatpally,208.0,5347,3890,Ready to move,5.0
257,3 BHK Apartment,Kukatpally,80.26,5652,1420,Ready to move,0.0
258,1 BHK Apartment,Patancheru,19.0,2923,650,Under Construction,0.0
259,4 BHK Apartment,Miyapur,208.0,5347,3890,Ready to move,4.7
260,2 BHK Apartment,Kukatpally,66.49,5298,1255,Ready to move,0.0
261,3 BHK Apartment,Kukatpally,77.08,5667,1360,Ready to move,0.0
262,3 BHK Apartment,Tellapur,93.18,5200,1792,Under Construction,0.0
263,2 BHK Apartment,Kondapur,77.01,5856,1315,Ready to move,5.0
264,2 BHK Apartment,Gajularamaram,41.38,3536,1170,Ready to move,0.0
265,2 BHK Apartment,Gajularamaram,41.76,4094,1020,Ready to move,0.0
266,2 BHK Apartment,Paparayadu Nagar,67.14,5618,1195,Ready to move,0.0
267,2 BHK Apartment,Kollur,29.0,2406,1205,Under Construction,0.0
268,3 BHK Apartment,Nallagandla Gachibowli,86.99,5200,1673,Under Construction,0.0
269,3 BHK Apartment,Gachibowli,85.0,5322,1597,Under Construction,0.0
270,2 BHK Apartment,Kukatpally,66.48,5731,1160,Ready to move,5.0
271,3 BHK Apartment,Tellapur,99.35,5301,1874,Under Construction,0.0
272,2 BHK Apartment,Kukatpally,52.53,5415,970,Ready to move,0.0
273,2 BHK Apartment,Ramachandra Puram,60.02,4919,1220,Under Construction,0.0
274,3 BHK Apartment,Ramachandra Puram,78.82,5052,1560,Under Construction,0.0
275,2 BHK Apartment,Kukatpally,62.33,5327,1170,Ready to move,0.0
276,Residential Plot,Warangal Highway Aler,7.2,400,1800,New,5.0
277,Residential Plot,Warangal Highway Aler,13.6,377,3600,New,5.0
278,Residential Plot,Warangal Highway Aler,6.8,377,1800,New,5.0
279,Residential Plot,Warangal Highway Aler,8.5,377,2250,New,5.0
280,Residential Plot,Warangal Highway Aler,7.56,400,1890,New,5.0
281,Residential Plot,Warangal Highway Aler,5.4,400,1350,New,5.0
282,Residential Plot,Warangal Highway Aler,10.88,377,2880,New,5.0
283,Residential Plot,Warangal Highway Aler,11.16,400,2790,New,5.0
284,Residential Plot,Warangal Highway Aler,10.2,377,2700,New,5.0
285,Residential Plot,Warangal Highway Aler,6.84,400,1710,New,5.0
286,2 BHK Apartment,Kukatpally,78.31,6471,1210,Ready to move,0.0
287,Residential Plot,Warangal Highway Aler,15.21,433,3510,New,5.0
288,3 BHK Apartment,Tellapur,33.0,2400,1375,Under Construction,0.0
289,2 BHK Apartment,Shamirpet,25.0,2500,1000,Under Construction,4.9
290,Residential Plot,Warangal Highway Aler,12.92,422,3060,New,5.0
291,3 BHK Apartment,Gachibowli,80.97,4799,1687,Ready to move,5.0
292,2 BHK Apartment,Chandanagar,63.0,5250,1200,Under Construction,0.0
293,Residential Plot,Warangal Highway Aler,11.31,433,2610,New,5.0
294,Residential Plot,Kardhanur,44.0,2444,1800,New,4.9
295,3 BHK Apartment,Gachibowli,99.32,5300,1874,Under Construction,5.0
296,2 BHK Apartment,Tellapur,29.0,2416,1200,Under Construction,0.0
297,Residential Plot,Shamshabad,12.0,6000,200,New,4.8
298,3 BHK Apartment,Tellapur,79.97,5200,1538,Under Construction,5.0
299,3 BHK Apartment,Nallagandla Gachibowli,83.04,5200,1597,Under Construction,5.0
300,3 BHK Apartment,Gachibowli,110.0,5200,2132,Under Construction,5.0
301,3 BHK Apartment,Nallagandla Gachibowli,97.44,5200,1874,Under Construction,5.0
302,3 BHK Apartment,Nallagandla Gachibowli,93.18,5200,1792,Under Construction,5.0
303,3 BHK Apartment,Nallagandla Gachibowli,87.72,5200,1687,Under Construction,5.0
304,3 BHK Apartment,Nallagandla Gachibowli,86.99,5200,1673,Under Construction,5.0
305,Residential Plot,Gachibowli,60.0,2222,2700,New,3.6
306,Residential Plot,Kollur,80.0,2222,3600,New,3.6
307,Residential Plot,Ghanpur,60.0,2222,2700,New,3.6
308,Residential Plot,Nandigama,40.0,2222,1800,New,3.6
309,Residential Plot,Warangal Highway Aler,9.99,411,2430,New,5.0
310,Residential Plot,Nandigama,60.0,2222,2700,New,3.6
311,Residential Plot,Kollur,40.0,2222,1800,New,3.6
312,Residential Plot,Gachibowli,40.0,2222,1800,New,3.6
313,Residential Plot,Gachibowli,80.0,2222,3600,New,3.6
314,1 BHK Apartment,Ashok Nagar,22.0,3384,650,Ready to move,4.7
315,Residential Plot,Kothur,23.0,1539,1494,New,0.0
316,3 BHK Apartment,Tellapur,87.72,5200,1687,Under Construction,5.0
317,3 BHK Apartment,Gajularamaram,63.09,4057,1555,Ready to move,0.0
318,Residential Plot,Shadnagar,32.5,722,4500,New,4.9
319,Residential Plot,Mumbai Highway,14.0,1555,900,New,4.9
320,Residential Plot,Mumbai Highway,23.38,1555,1503,New,4.9
321,Residential Plot,Mumbai Highway,21.0,1555,1350,New,4.9
322,Residential Plot,Mumbai Highway,42.0,1555,2700,New,4.9
323,Residential Plot,Indresham,15.6,666,2340,New,4.9
324,2 BHK Apartment,Kukatpally,58.41,5358,1090,Ready to move,0.0
325,2 BHK Apartment,Ameenpur,29.0,2502,1159,Under Construction,0.0
326,Residential Plot,LB Nagar,4.44,411,1080,New,4.8
327,3 BHK Apartment,Gachibowli,86.15,4807,1792,Under Construction,5.0
328,3 BHK Apartment,Tellapur,86.99,5200,1673,Under Construction,5.0
329,Residential Plot,Kothur,11.99,1222,981,New,4.3
330,Residential Plot,Kothur,11.88,1222,972,New,4.3
331,Residential Plot,Kundanpally,18.5,2055,900,New,4.9
332,Residential Plot,Bhuvanagiri,12.0,1333,900,New,4.9
333,Residential Plot,Bhuvanagiri,24.0,1333,1800,New,4.9
334,Residential Plot,Bhuvanagiri,18.0,1333,1350,New,4.9
335,Residential Plot,Sadasivpet,32.5,722,4500,New,4.9
336,2 BHK Apartment,Kollur,28.92,2400,1205,Under Construction,0.0
337,2 BHK Apartment,Ameenpur,28.92,2400,1205,Under Construction,0.0
338,Residential Plot,Sangareddy,30.0,1666,1800,New,4.9
339,2 BHK Apartment,Alkapur township,46.0,3865,1190,Ready to move,0.0
340,3 BHK Apartment,Nanakramguda,120.0,5500,2191,Under Construction,5.0
341,3 BHK Apartment,Hitech City,198.0,7346,2695,Ready to move,0.0
342,3 BHK Apartment,Tellapur,75.92,5302,1432,Under Construction,0.0
343,2 BHK Apartment,Tellapur,30.12,2500,1205,Under Construction,0.0
344,3 BHK Apartment,Tellapur,100.0,5336,1874,Under Construction,0.0
345,Residential Plot,Kothur,23.76,1100,2160,New,4.7
346,Residential Plot,Kothur,23.4,1444,1620,New,4.7
347,Residential Plot,Shadnagar,23.48,611,3843,New,0.0
348,Residential Plot,Shadnagar,20.12,611,3294,New,0.0
349,Residential Plot,Shadnagar,16.13,611,2640,New,0.0
350,Residential Plot,Shadnagar,15.05,611,2464,New,0.0
351,Residential Plot,Shadnagar,14.62,611,2394,New,0.0
352,Residential Plot,Shadnagar,14.13,611,2313,New,0.0
353,Residential Plot,Shadnagar,10.99,611,1800,New,0.0
354,Residential Plot,Shadnagar,9.07,611,1485,New,0.0
355,Residential Plot,Shadnagar,8.06,611,1320,New,0.0
356,Residential Plot,Shadnagar,7.31,611,1197,New,0.0
357,3 BHK Apartment,Kukatpally,75.31,5248,1435,Ready to move,0.0
358,Residential Plot,Kothur,33.11,1222,2709,New,4.3
359,Residential Plot,Shankarpally Road,37.0,2055,1800,New,4.3
360,Residential Plot,Nandigama,80.0,2222,3600,New,3.6
361,Residential Plot,Kollur,60.0,2222,2700,New,3.6
362,3 BHK Apartment,Pragathi Nagar Kukatpally,63.0,4522,1393,Ready to move,0.0
363,3 BHK Apartment,Gachibowli,102.0,4800,2132,Under Construction,5.0
364,3 BHK Apartment,Gachibowli,76.66,4800,1597,Under Construction,5.0
365,2 BHK Apartment,Ameenpur,29.0,2406,1205,Under Construction,0.0
366,3 BHK Apartment,Miyapur Main,100.0,5200,1935,Ready to move,0.0
367,3 BHK Apartment,Nallagandla Gachibowli,114.0,5200,2208,Under Construction,5.0
368,3 BHK Villa,Ibrahimpatnam,140.0,4697,2980,Under Construction,4.9
369,Residential Plot,Mangalpally,38.5,1944,1980,New,4.7
370,Residential Plot,Mangalpally,49.5,1833,2700,New,4.7
371,Residential Plot,Mangalpally,33.0,1833,1800,New,4.7
372,2 BHK Apartment,Kukatpally,45.13,4500,1003,Ready to move,0.0
373,Residential Plot,Warangal Highway Aler,11.7,433,2700,New,5.0
374,Residential Plot,Warangal Highway Aler,14.8,3700,400,New,5.0
375,2 BHK Apartment,Kollur,28.0,2323,1205,Under Construction,0.0
