,title,location,price(L),rate_persqft,area_insqft,building_status,agent_rating
16213,Residential Plot,International Airport,89.0,1111,8010,New,4.6
16214,Residential Plot,Shamshabad,50.0,1111,4500,New,4.6
16215,Residential Plot,Maheshwaram,100.0,1111,9000,New,4.6
16216,Residential Plot,International Airport,100.0,1111,9000,New,4.6
16217,Residential Plot,International Airport,200.0,1111,18000,New,4.6
16218,Residential Plot,Shamshabad,28.0,1111,2520,New,4.6
16219,Residential Plot,Mansanpally Highway,40.5,1666,2430,New,4.6
16220,Residential Plot,Mansanpally Highway,45.0,1666,2700,New,4.6
16221,Residential Plot,International Airport,30.0,1111,2700,New,4.6
16222,Residential Plot,Maheshwaram,30.0,1111,2700,New,4.6
16223,Residential Plot,Mansanpally Highway,42.0,1666,2520,New,4.6
16224,Residential Plot,Maheshwaram,28.0,1111,2520,New,4.6
16225,Residential Plot,Maheshwaram,90.0,1111,8100,New,4.6
16226,Residential Plot,Shankarpalli,36.0,2000,1800,New,4.6
16227,Residential Plot,Ibrahimpatnam,21.95,1219,1800,New,4.6
16228,Residential Plot,Shadnagar,10.0,740,1350,New,4.6
16229,2 BHK Independent House,Dammaiguda,34.24,5267,650,Ready to move,3.3
16230,3 BHK Apartment,Nallagandla Road,80.5,5031,1600,Ready to move,0.0
16231,2 BHK Apartment,Mallampet Road,40.8,3709,1100,Under Construction,2.7
16232,2 BHK Independent Floor,Dammaiguda,36.0,4965,725,Ready to move,3.3
16233,3 BHK Villa,Mallampet,80.0,4444,1800,Under Construction,4.3
16234,Residential Plot,Ghatkesar,32.54,1277,2547,New,5.0
16235,Residential Plot,Yadagirigutta,9.07,859,1056,New,4.2
16236,3 BHK Independent House,Bachupally,85.0,4550,1868,Ready to move,0.0
16237,Residential Plot,Nandigama,32.0,1777,1800,New,4.8
16238,2 BHK Independent House,Narapally,66.0,4888,1350,Ready to move,0.0
16239,2 BHK Apartment,Bachupally,55.0,3666,1500,Ready to move,0.0
16240,2 BHK Apartment,Miyapur,67.0,5583,1200,Ready to move,0.0
16241,1 BHK Independent House,Suraram,62.0,5719,1084,Ready to move,0.0
16242,2 BHK Independent House,Chengicherla,85.0,5523,1539,Ready to move,0.0
16243,Residential Plot,Rudraram,9.45,777,1215,New,4.9
16244,Residential Plot,Sangareddy,9.1,777,1170,New,4.9
16245,Residential Plot,Sanga Reddy,7.7,777,990,New,4.9
16246,2 BHK Apartment,Nizampet,39.1,3400,1150,Ready to move,4.3
